,mean_ace_0,sd_ace_0,mean_ace_30,sd_ace_30
20,0.113521754131241,0.00582914517549748,0.337553962022406,0.0164778697292892
22,0.123988497190328,0.00641806324044113,0.341354244153132,0.0163613786026624
24,0.134491558616639,0.00700788442060106,0.345169354353262,0.0162468035525507
26,0.14503070752552,0.00759576378179213,0.348999292172999,0.0161343297920298
28,0.155605711562898,0.00817979060046979,0.352844056651019,0.0160241481815747
30,0.166216336971243,0.00875867000508629,0.356703646315455,0.0159164551442611
32,0.176862348657602,0.00933152468203897,0.360578059184932,0.0158114525415621
34,0.187543510263675,0.00989776804974057,0.364467292769722,0.0157093475057196
36,0.198259584237943,0.0104570210310936,0.368371344072938,0.0156103522248469
38,0.209010331909767,0.0110090560914178,0.372290209591835,0.015514683676845
40,0.219795513565394,0.0115537587398106,0.376223885319171,0.0154225633085584
42,0.230614888525775,0.0120911004694505,0.380172366744666,0.0153342166567806
44,0.24146821522605,0.0126211193480774,0.384135648856507,0.0152498729082162
46,0.252355251296561,0.013143905823725,0.388113726142966,0.0151697643960245
48,0.26327575364521,0.0136595921489375,0.392106592594047,0.0150941260312855
50,0.274229478540975,0.0141683443566001,0.396114241703241,0.0150231946685786
52,0.285216181698365,0.0146703560621874,0.400136666469358,0.0149572084058121
54,0.296235618362583,0.0151658435916509,0.404173859398402,0.0148964058197261
56,0.30728754339517,0.0156550420841135,0.408225812505521,0.0148410251395476
58,0.31837171135987,0.0161382023203497,0.412292517317057,0.0147913033628982
60,0.32948787660847,0.0166155880981732,0.416373964872641,0.0147474753193308
62,0.340635793366368,0.0170874740248656,0.420470145727349,0.0147097726885673
64,0.351815215817596,0.0175541436314406,0.424581049953949,0.0146784229819507
66,0.363025898189087,0.0180158877383585,0.428706667145196,0.0146536484971093
68,0.37426759483391,0.0184730030202467,0.4328469864162,0.0146356652572905
70,0.385540060313274,0.0189257907302965,0.437001996406862,0.0146246819480606
72,0.396843049477081,0.0193745555546568,0.441171685284346,0.0146208988649983
74,0.408176317542816,0.0198196045743213,0.44535604074567,0.0146245068868434
76,0.419539620172606,0.0202612463173596,0.449555050020303,0.0146356864889338
78,0.430932713548285,0.0206997898883731,0.453768699872835,0.0146546068118443
80,0.4423553544443,0.0211355441651003,0.457996976605739,0.0146814247996796
82,0.453807300298351,0.021568817054402,0.462239866062152,0.0147162844218767
84,0.465288309279646,0.0219999148016152,0.466497353628736,0.0147593159909899
86,0.476798140354681,0.022429141348591,0.470769424238571,0.0148106355875108
88,0.488336553350472,0.0228567977367695,0.475056062374157,0.0148703446007727
90,0.499903309015193,0.0232831815523958,0.479357252070404,0.0149385293928913
92,0.511498169076173,0.0237085864115845,0.483672976917709,0.0150152610901122
94,0.523120896295223,0.0241333014833776,0.488003220065097,0.0151005955035937
96,0.534771254521311,0.0245576110492733,0.492347964223386,0.0151945731789328
98,0.546449008740557,0.024981794097944,0.496707191668416,0.0152972195713348
100,0.558153925123591,0.0254061239540413,0.501080884244335,0.0154085453408388
