,mean_ace_0,sd_ace_0,mean_ace_30,sd_ace_30
20,0.741245614930856,0.125651192903274,-4.45373674914676,0.248973965706829
22,0.831042174801757,0.139922533100647,-4.36891405302897,0.244208492975954
24,0.920195954729636,0.154045493064739,-4.28435400405378,0.239432473578783
26,1.00871104481602,0.167988327382403,-4.2000565940915,0.23464758849421
28,1.09659156111577,0.181730447832496,-4.11602180594743,0.22985568077766
30,1.18384164447451,0.195258267385795,-4.03224961337859,0.225058773017843
32,1.27046545932905,0.208562778874231,-3.94873998111296,0.220259086985018
34,1.35646719247047,0.221638083539064,-3.86549286486934,0.215459065761277
36,1.44185105177062,0.234480463309329,-3.78250821137849,0.210661398677955
38,1.52662126487247,0.24708777663295,-3.69978595840666,0.205869049421846
40,1.61078207784609,0.259459053500695,-3.61732603477949,0.20108528771744
42,1.69433775381166,0.271594216827164,-3.5351283604075,0.196313725022896
44,1.77729257153209,0.283493886134135,-3.4531928463131,0.191558354725763
46,1.85965082397784,0.295159236116805,-3.37151939465929,0.186823597342459
48,1.94141681686698,0.306591892584963,-3.29010789877879,0.182114351256544
50,2.02259486718425,0.317793854342038,-3.20895824320569,0.17743604952413
52,2.10318930168269,0.328767433375965,-3.12807030370627,0.172794723230837
54,2.18320445537207,0.339515208183218,-3.0474439473137,0.168197071831383
56,2.26264466999844,0.350039986650768,-2.96707903236282,0.163650540715354
58,2.34151429251922,0.360344775991399,-2.88697540852557,0.159163406017177
60,2.41981767357834,0.370432757954429,-2.80713291684803,0.154744866281608
62,2.49755916598617,0.380307268035037,-2.7275513897897,0.150405140026898
64,2.57474312320857,0.389971777755501,-2.64823065126224,0.14615556739967
66,2.65137389786968,0.399429879339327,-2.56917051667091,0.142008712998411
68,2.72745584027259,0.408685272276682,-2.49037079295593,0.137978465390305
70,2.80299329694218,0.417741751407376,-2.41183127863584,0.134080126884981
72,2.87799060919377,0.426603196241066,-2.33355176385227,0.130330484695424
74,2.9524521117314,0.435273561302723,-2.25553203041397,0.126747851759603
76,3.02638213127886,0.443756867341705,-2.17777185184464,0.123352062408955
78,3.09978498524651,0.452057193280399,-2.10027099342932,0.12016440511601
80,3.1726649804366,0.460178668805882,-2.02302921226365,0.11720747234723
82,3.24502641178922,0.468125467529126,-1.94604625730286,0.114504907044935
84,3.31687356117105,0.475901800651309,-1.86932186941304,0.112081027639008
86,3.38821069620832,0.483511911088765,-1.79285578142229,0.109960320047203
88,3.45904206916547,0.49096006801618,-1.71664771817322,0.108166796838873
90,3.52937191587026,0.498250561794641,-1.64069739657658,0.106723240747965
92,3.59920445468629,0.50538769925553,-1.56500452566636,0.1056503706554
94,3.668543885533,0.512375799315089,-1.48956880665425,0.104965989621166
96,3.73739438895354,0.519219188897015,-1.41438993298654,0.10468419155888
98,3.80576012523029,0.525922199142697,-1.3394675904015,0.10481470993428
100,3.87364523354767,0.53248916189018,-1.26480145698679,0.105362484226446
