,strain,carbon_source,aMG,ACE,qGLC,source
1,E_coli_K12_MG1655_wt,glucose,0,0.452,8.6549,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,0,1.116,8.3613,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,0,0.4784,8.1154,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,100,0.1034,6.3128,this_study
5,E_coli_K12_MG1655_wt,glucose,100,0.1343,6.8378,this_study
6,E_coli_K12_MG1655_wt,glucose,100,0.2002,7.0267,this_study
7,E_coli_K12_MG1655_wt,glucose,0,0.2267,9.9092,this_study
8,E_coli_K12_MG1655_wt,glucose,10,0.2858,9.2598,this_study
9,E_coli_K12_MG1655_wt,glucose,20,0.2793,9.0196,this_study
10,E_coli_K12_MG1655_wt,glucose,30,0.4247,7.8178,this_study
11,E_coli_K12_MG1655_wt,glucose,40,0,6.8619,this_study
12,E_coli_K12_MG1655_wt,glucose,50,0,6.8931,this_study
13,E_coli_K12_MG1655_wt,glucose,100,0,5.033,this_study
14,E_coli_K12_MG1655_wt,glucose,40,0.2132,8.186,this_study
15,E_coli_K12_MG1655_wt,glucose,20,0.3457,9.1419,this_study
16,E_coli_K12_MG1655_wt,glucose,0,30.8668,5.1545,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,0,33.5324,5.6842,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,0,30.2457,5.5058,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,0,30.5893,6.3666,this_study
20,E_coli_K12_MG1655_wt,glucose,10,31.9411,5.498,this_study
21,E_coli_K12_MG1655_wt,glucose,20,32.6493,5.7862,this_study
22,E_coli_K12_MG1655_wt,glucose,30,32.0145,4.837,this_study
23,E_coli_K12_MG1655_wt,glucose,40,31.6758,4.3886,this_study
24,E_coli_K12_MG1655_wt,glucose,50,31.8723,4.608,this_study
25,E_coli_K12_MG1655_wt,glucose,80,30.9725,3.352,this_study
26,E_coli_K12_MG1655_wt,glucose,100,30.9422,3.2584,this_study
27,E_coli_K12_MG1655_wt,glucose,100,32.6406,4.3842,this_study
28,E_coli_K12_MG1655_wt,glucose,40,36.1861,5.7393,this_study
29,E_coli_K12_MG1655_wt,glucose,0,0.4051,9.76,this_study
30,E_coli_K12_MG1655_wt,glucose,10,0.3263,9.5723,this_study
31,E_coli_K12_MG1655_wt,glucose,20,0.4283,9.0825,this_study
32,E_coli_K12_MG1655_wt,glucose,50,0.1006,7.4748,this_study
33,E_coli_K12_MG1655_wt,glucose,75,0.0307,6.5578,this_study
34,E_coli_K12_MG1655_wt,glucose,100,0.1201,6.6751,this_study
35,E_coli_K12_MG1655_wt,glucose,40,35.3732,3.5108,this_study
