,strain,carbon_source,aMG,ACE,mu,source
1,E_coli_K12_MG1655_wt,glucose,0,0.452,0.5211,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,0,1.116,0.6111,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,0,0.4784,0.6457,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,100,0.1034,0.2807,this_study
5,E_coli_K12_MG1655_wt,glucose,100,0.1343,0.2567,this_study
6,E_coli_K12_MG1655_wt,glucose,100,0.2002,0.2992,this_study
7,E_coli_K12_MG1655_wt,glucose,0,0.2267,0.6587,this_study
8,E_coli_K12_MG1655_wt,glucose,10,0.2858,0.5856,this_study
9,E_coli_K12_MG1655_wt,glucose,20,0.2793,0.5339,this_study
10,E_coli_K12_MG1655_wt,glucose,30,0.4247,0.4877,this_study
11,E_coli_K12_MG1655_wt,glucose,40,0,0.3932,this_study
12,E_coli_K12_MG1655_wt,glucose,50,0,0.3431,this_study
13,E_coli_K12_MG1655_wt,glucose,100,0,0.3236,this_study
14,E_coli_K12_MG1655_wt,glucose,40,0.2132,0.4057,this_study
15,E_coli_K12_MG1655_wt,glucose,20,0.3457,0.534,this_study
16,E_coli_K12_MG1655_wt,glucose,0,30.8668,0.4254,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,0,33.5324,0.435,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,0,30.2457,0.4839,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,0,30.5893,0.4889,this_study
20,E_coli_K12_MG1655_wt,glucose,10,31.9411,0.4689,this_study
21,E_coli_K12_MG1655_wt,glucose,20,32.6493,0.403,this_study
22,E_coli_K12_MG1655_wt,glucose,30,32.0145,0.3977,this_study
23,E_coli_K12_MG1655_wt,glucose,40,31.6758,0.389,this_study
24,E_coli_K12_MG1655_wt,glucose,50,31.8723,0.3674,this_study
25,E_coli_K12_MG1655_wt,glucose,80,30.9725,0.3338,this_study
26,E_coli_K12_MG1655_wt,glucose,100,30.9422,0.3375,this_study
27,E_coli_K12_MG1655_wt,glucose,100,32.6406,0.3845,this_study
28,E_coli_K12_MG1655_wt,glucose,40,36.1861,0.415,this_study
29,E_coli_K12_MG1655_wt,glucose,0,0.4051,0.5428,this_study
30,E_coli_K12_MG1655_wt,glucose,10,0.3263,0.5215,this_study
31,E_coli_K12_MG1655_wt,glucose,20,0.4283,0.5058,this_study
32,E_coli_K12_MG1655_wt,glucose,50,0.1006,0.3672,this_study
33,E_coli_K12_MG1655_wt,glucose,75,0.0307,0.2725,this_study
34,E_coli_K12_MG1655_wt,glucose,100,0.1201,0.2552,this_study
35,E_coli_K12_MG1655_wt,glucose,40,35.3732,0.415,this_study
