,strain,carbon_source,qACE,Ctotal,source
1,E_coli_K12_MG1655_wt,glucose,1.517,48.8954,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,1.2685,47.6308,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,1.9847,44.723,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,-0.0241,37.925,this_study
5,E_coli_K12_MG1655_wt,glucose,-0.0376,41.102,this_study
6,E_coli_K12_MG1655_wt,glucose,0,42.1602,this_study
7,E_coli_K12_MG1655_wt,glucose,2.3754,54.7044,this_study
8,E_coli_K12_MG1655_wt,glucose,1.7671,52.0246,this_study
9,E_coli_K12_MG1655_wt,glucose,1.2489,51.6198,this_study
10,E_coli_K12_MG1655_wt,glucose,0.1243,46.6582,this_study
11,E_coli_K12_MG1655_wt,glucose,0,41.1714,this_study
12,E_coli_K12_MG1655_wt,glucose,0,41.3586,this_study
13,E_coli_K12_MG1655_wt,glucose,0,30.198,this_study
14,E_coli_K12_MG1655_wt,glucose,-0.0993,49.3146,this_study
15,E_coli_K12_MG1655_wt,glucose,0.842,53.1674,this_study
16,E_coli_K12_MG1655_wt,glucose,-1.5253,33.9776,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,-1.1208,36.3468,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,-1.318,35.6708,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,-1.3015,40.8026,this_study
20,E_coli_K12_MG1655_wt,glucose,-2.2061,37.4002,this_study
21,E_coli_K12_MG1655_wt,glucose,-3.8321,42.3814,this_study
22,E_coli_K12_MG1655_wt,glucose,-5.0088,39.0396,this_study
23,E_coli_K12_MG1655_wt,glucose,-5.1172,36.566,this_study
24,E_coli_K12_MG1655_wt,glucose,-7.5214,42.6908,this_study
25,E_coli_K12_MG1655_wt,glucose,-8.0634,36.2388,this_study
26,E_coli_K12_MG1655_wt,glucose,-9.9057,39.3618,this_study
27,E_coli_K12_MG1655_wt,glucose,-9.5436,45.3924,this_study
28,E_coli_K12_MG1655_wt,glucose,-7.44,49.3158,this_study
29,E_coli_K12_MG1655_wt,glucose,2.6504,53.2592,this_study
30,E_coli_K12_MG1655_wt,glucose,1.8987,53.6364,this_study
31,E_coli_K12_MG1655_wt,glucose,0.5781,53.3388,this_study
32,E_coli_K12_MG1655_wt,glucose,0.0255,44.7978,this_study
33,E_coli_K12_MG1655_wt,glucose,0,39.3468,this_study
34,E_coli_K12_MG1655_wt,glucose,0,40.0506,this_study
35,E_coli_K12_MG1655_wt,glucose,-7.4422,35.9492,this_study
