,strain,carbon_source,aMG,qGLC,contribution_acetate,source
1,E_coli_K12_MG1655_wt,glucose,0,8.6549,-6.20508268671491,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,0,8.3613,-5.32638544807142,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,0,8.1154,-8.87552266171769,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,100,6.3128,0.127092946605142,this_study
5,E_coli_K12_MG1655_wt,glucose,100,6.8378,0.182959466692618,this_study
6,E_coli_K12_MG1655_wt,glucose,100,7.0267,0,this_study
7,E_coli_K12_MG1655_wt,glucose,0,9.9092,-8.6844933862724,this_study
8,E_coli_K12_MG1655_wt,glucose,10,9.2598,-6.79332469639363,this_study
9,E_coli_K12_MG1655_wt,glucose,20,9.0196,-4.83884090988342,this_study
10,E_coli_K12_MG1655_wt,glucose,30,7.8178,-0.532810952844302,this_study
11,E_coli_K12_MG1655_wt,glucose,40,6.8619,0,this_study
12,E_coli_K12_MG1655_wt,glucose,50,6.8931,0,this_study
13,E_coli_K12_MG1655_wt,glucose,100,5.033,0,this_study
14,E_coli_K12_MG1655_wt,glucose,40,8.186,0.402720492511346,this_study
15,E_coli_K12_MG1655_wt,glucose,20,9.1419,-3.16735443147493,this_study
16,E_coli_K12_MG1655_wt,glucose,0,5.1545,8.97826803541157,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,0,5.6842,6.16725543926838,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,0,5.5058,7.38979781782298,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,0,6.3666,6.3794954243112,this_study
20,E_coli_K12_MG1655_wt,glucose,10,5.498,11.79726311624,this_study
21,E_coli_K12_MG1655_wt,glucose,20,5.7862,18.083876417485,this_study
22,E_coli_K12_MG1655_wt,glucose,30,4.837,25.6600989764239,this_study
23,E_coli_K12_MG1655_wt,glucose,40,4.3886,27.9888420937483,this_study
24,E_coli_K12_MG1655_wt,glucose,50,4.608,35.2366317801494,this_study
25,E_coli_K12_MG1655_wt,glucose,80,3.352,44.5014735587271,this_study
26,E_coli_K12_MG1655_wt,glucose,100,3.2584,50.3315397161715,this_study
27,E_coli_K12_MG1655_wt,glucose,100,4.3842,42.0493298437624,this_study
28,E_coli_K12_MG1655_wt,glucose,40,5.7393,30.1728857688611,this_study
29,E_coli_K12_MG1655_wt,glucose,0,9.76,-9.95283443987142,this_study
30,E_coli_K12_MG1655_wt,glucose,10,9.5723,-7.07989350515694,this_study
31,E_coli_K12_MG1655_wt,glucose,20,9.0825,-2.1676528155864,this_study
32,E_coli_K12_MG1655_wt,glucose,50,7.4748,-0.11384487631089,this_study
33,E_coli_K12_MG1655_wt,glucose,75,6.5578,0,this_study
34,E_coli_K12_MG1655_wt,glucose,100,6.6751,0,this_study
35,E_coli_K12_MG1655_wt,glucose,40,3.5108,41.4039811734336,this_study
