,strain,carbon_source,aMG,ACE,Ctotal,qGLC,source
1,E_coli_K12_MG1655_wt,glucose,0,0.452,48.8954,8.6549,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,0,1.116,47.6308,8.3613,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,0,0.4784,44.723,8.1154,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,100,0.1034,37.925,6.3128,this_study
5,E_coli_K12_MG1655_wt,glucose,100,0.1343,41.102,6.8378,this_study
6,E_coli_K12_MG1655_wt,glucose,100,0.2002,42.1602,7.0267,this_study
7,E_coli_K12_MG1655_wt,glucose,0,0.2267,54.7044,9.9092,this_study
8,E_coli_K12_MG1655_wt,glucose,10,0.2858,52.0246,9.2598,this_study
9,E_coli_K12_MG1655_wt,glucose,20,0.2793,51.6198,9.0196,this_study
10,E_coli_K12_MG1655_wt,glucose,30,0.4247,46.6582,7.8178,this_study
11,E_coli_K12_MG1655_wt,glucose,40,0,41.1714,6.8619,this_study
12,E_coli_K12_MG1655_wt,glucose,50,0,41.3586,6.8931,this_study
13,E_coli_K12_MG1655_wt,glucose,100,0,30.198,5.033,this_study
14,E_coli_K12_MG1655_wt,glucose,40,0.2132,49.3146,8.186,this_study
15,E_coli_K12_MG1655_wt,glucose,20,0.3457,53.1674,9.1419,this_study
16,E_coli_K12_MG1655_wt,glucose,0,30.8668,33.9776,5.1545,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,0,33.5324,36.3468,5.6842,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,0,30.2457,35.6708,5.5058,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,0,30.5893,40.8026,6.3666,this_study
20,E_coli_K12_MG1655_wt,glucose,10,31.9411,37.4002,5.498,this_study
21,E_coli_K12_MG1655_wt,glucose,20,32.6493,42.3814,5.7862,this_study
22,E_coli_K12_MG1655_wt,glucose,30,32.0145,39.0396,4.837,this_study
23,E_coli_K12_MG1655_wt,glucose,40,31.6758,36.566,4.3886,this_study
24,E_coli_K12_MG1655_wt,glucose,50,31.8723,42.6908,4.608,this_study
25,E_coli_K12_MG1655_wt,glucose,80,30.9725,36.2388,3.352,this_study
26,E_coli_K12_MG1655_wt,glucose,100,30.9422,39.3618,3.2584,this_study
27,E_coli_K12_MG1655_wt,glucose,100,32.6406,45.3924,4.3842,this_study
28,E_coli_K12_MG1655_wt,glucose,40,36.1861,49.3158,5.7393,this_study
29,E_coli_K12_MG1655_wt,glucose,0,0.4051,53.2592,9.76,this_study
30,E_coli_K12_MG1655_wt,glucose,10,0.3263,53.6364,9.5723,this_study
31,E_coli_K12_MG1655_wt,glucose,20,0.4283,53.3388,9.0825,this_study
32,E_coli_K12_MG1655_wt,glucose,50,0.1006,44.7978,7.4748,this_study
33,E_coli_K12_MG1655_wt,glucose,75,0.0307,39.3468,6.5578,this_study
34,E_coli_K12_MG1655_wt,glucose,100,0.1201,40.0506,6.6751,this_study
35,E_coli_K12_MG1655_wt,glucose,40,35.3732,35.9492,3.5108,this_study
