,strain,carbon_source,aMG,ACE,mu,qGLC,qACE,source
1,E_coli_K12_MG1655_wt,glucose,100,0.1034,0.2807,6.3128,-0.0241,this_study
2,E_coli_K12_MG1655_wt,glucose,100,0.1343,0.2567,6.8378,-0.0376,this_study
3,E_coli_K12_MG1655_wt,glucose,100,0.2002,0.2992,7.0267,0,this_study
4,E_coli_K12_MG1655_wt,glucose,100,1.188,0.3801,6.9824,-3.5242,this_study
5,E_coli_K12_MG1655_wt,glucose,100,1.5992,0.4013,6.6803,-3.9486,this_study
6,E_coli_K12_MG1655_wt,glucose,100,2.6894,0.4174,6.069,-5.6025,this_study
7,E_coli_K12_MG1655_wt,glucose,100,2.9126,0.3795,5.1806,-4.4423,this_study
8,E_coli_K12_MG1655_wt,glucose,100,3.9984,0.4014,4.869,-5.9333,this_study
9,E_coli_K12_MG1655_wt,glucose,100,4.8475,0.3901,4.1935,-7.0216,this_study
10,E_coli_K12_MG1655_wt,glucose,100,5.3293,0.4265,5.0981,-7.871,this_study
11,E_coli_K12_MG1655_wt,glucose,100,6.4719,0.3954,5.3563,-7.5433,this_study
12,E_coli_K12_MG1655_wt,glucose,100,6.4928,0.4037,5.423,-7.3778,this_study
13,E_coli_K12_MG1655_wt,glucose,100,6.7722,0.3927,4.9073,-9.1051,this_study
14,E_coli_K12_MG1655_wt,glucose,100,7.7166,0.3867,5.0329,-7.5863,this_study
15,E_coli_K12_MG1655_wt,glucose,100,7.8041,0.4023,4.8676,-7.9266,this_study
16,E_coli_K12_MG1655_wt,glucose,100,9.9574,0.386,5.0004,-8.9509,this_study
17,E_coli_K12_MG1655_wt,glucose,100,10.095,0.3638,3.6177,-7.2434,this_study
18,E_coli_K12_MG1655_wt,glucose,100,10.9241,0.34,4.4453,-8.2623,this_study
19,E_coli_K12_MG1655_wt,glucose,100,32.6406,0.3845,4.3842,-9.5436,this_study
20,E_coli_K12_MG1655_wt,glucose,100,57.5955,0.3375,4.1561,-10.134,this_study
21,E_coli_K12_MG1655_wt,glucose,100,60.9498,0.3593,3.5577,-10.7105,this_study
22,E_coli_K12_MG1655_wt,glucose,100,64.6187,0.344,3.8025,-9.4267,this_study
23,E_coli_K12_MG1655_wt,glucose,100,102.0931,0.2723,4.5248,-9.7334,this_study
24,E_coli_K12_MG1655_wt,glucose,100,115.2322,0.3244,4.112,-11.3478,this_study
25,E_coli_K12_MG1655_wt,glucose,0,0.452,0.5211,8.6549,1.517,Enjalbert_2017
26,E_coli_K12_MG1655_wt,glucose,0,1.116,0.6111,8.3613,1.2685,Enjalbert_2017
27,E_coli_K12_MG1655_wt,glucose,0,2.0472,0.6132,7.9801,0.7758,Enjalbert_2017
28,E_coli_K12_MG1655_wt,glucose,0,2.8625,0.5025,9.2369,0.6789,Enjalbert_2017
29,E_coli_K12_MG1655_wt,glucose,0,5.2859,0.4963,8.2744,0.0174,Enjalbert_2017
30,E_coli_K12_MG1655_wt,glucose,0,9.1062,0.4882,7.5604,-0.9915,Enjalbert_2017
31,E_coli_K12_MG1655_wt,glucose,0,16.6748,0.5476,7.3392,-1.2867,Enjalbert_2017
32,E_coli_K12_MG1655_wt,glucose,0,16.7663,0.4998,5.7753,-2.0785,Enjalbert_2017
33,E_coli_K12_MG1655_wt,glucose,0,17.0022,0.4746,6.4234,-1.5308,Enjalbert_2017
34,E_coli_K12_MG1655_wt,glucose,0,30.8668,0.4254,5.1545,-1.5253,Enjalbert_2017
35,E_coli_K12_MG1655_wt,glucose,0,57.9229,0.3775,3.9386,-1.2536,Enjalbert_2017
36,E_coli_K12_MG1655_wt,glucose,0,0.4784,0.6457,8.1154,1.9847,Enjalbert_2017
37,E_coli_K12_MG1655_wt,glucose,0,4.5567,0.6185,9.2807,0.5465,Enjalbert_2017
38,E_coli_K12_MG1655_wt,glucose,0,8.1016,0.5549,6.7372,-0.1368,Enjalbert_2017
39,E_coli_K12_MG1655_wt,glucose,0,8.221,0.5648,7.1727,-0.3939,Enjalbert_2017
40,E_coli_K12_MG1655_wt,glucose,0,7.8296,0.5276,5.8842,-0.6102,Enjalbert_2017
41,E_coli_K12_MG1655_wt,glucose,0,33.5324,0.435,5.6842,-1.1208,Enjalbert_2017
42,E_coli_K12_MG1655_wt,glucose,0,66.2036,0.3825,4.8116,-1.2775,Enjalbert_2017
43,E_coli_K12_MG1655_wt,glucose,0,0.437,0.5836,9.6327,2.5743,Enjalbert_2017
44,E_coli_K12_MG1655_wt,glucose,0,1.2847,0.6209,8.055,2.0519,Enjalbert_2017
45,E_coli_K12_MG1655_wt,glucose,0,1.5559,0.5643,9.7083,1.8284,Enjalbert_2017
46,E_coli_K12_MG1655_wt,glucose,0,12.0256,0.5321,7.1001,-1.2624,Enjalbert_2017
47,E_coli_K12_MG1655_wt,glucose,0,30.2457,0.4839,5.5058,-1.318,Enjalbert_2017
