carbon source	strain	aMG	ace	mu_mean	mu_sd	n_replicates	p-val (vs wt, same ace)	p-val (vs 0 mM ace, same strain)	relative growth change	rgc_sd
glucose	wt	0	0	0.616075	0.00589144860511119	4	NA	NA	NA	NA
glucose	wt	0	10	0.5795	0.00668281377864145	4	NA	4.27342916039228e-05	-0.0593784406181287	0.00319254447758107
glucose	wt	100	0	0.459983333333333	0.0266565876785958	6	NA	NA	NA	NA
glucose	wt	100	10	0.5007	0.0315884789124136	6	NA	2.72356938904815e-05	0.088333241795769	0.0148212387386867
glucose	delta_pta	100	0	0.452133333333333	0.0128321211548728	3	0.483190000825296	NA	NA	NA
glucose	delta_pta	100	10	0.4238	0.0155897402159241	3	0.0146177362621164	0.00727286586724168	-0.0628025857266741	0.00932760116889833
glucose	delta_acs	100	0	0.449266666666667	0.0219429563489821	3	0.684716775399934	NA	NA	NA
glucose	delta_acs	100	10	0.484	0.0254707675581243	3	0.709893352950238	0.00124855927455478	0.0771838863746752	0.00472823257350528
glucose	delta_pgi	0	0	0.190866666666667	0.0180788089578195	0	NA	NA	NA	NA
glucose	delta_pgi	0	10	0.3024	0.0118983192090312	0	NA	0.0318622667720266	0.595903857374168	0.188777729223695
glucose	delta_pfkA	0	0	0.0734333333333333	0.00263122278291546	0	NA	NA	NA	NA
glucose	delta_pfkA	0	10	0.1593	0.0142123186004255	0	NA	0.0108418860858408	1.17145333334857	0.213006068699011
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
