carbon source	strain	aMG	ace	mu_mean	mu_sd	n_replicates	p-val (vs wt, same ace)	p-val (vs 0 mM ace, same strain)	relative growth change	rgc_sd
glucose	wt	0	0	0.616075	0.00589144860511119	4	NA	NA	NA	NA
glucose	wt	0	10	0.5795	0.00668281377864145	4	NA	4.27342916039228e-05	-0.0593784406181287	0.00319254447758107
glucose	wt	100	0	0.459983333333333	0.0266565876785958	6	NA	NA	NA	NA
glucose	wt	100	10	0.5007	0.0315884789124136	6	NA	2.72356938904815e-05	0.088333241795769	0.0148212387386867
glucose	delta_pta	100	0	0.452133333333333	0.0128321211548728	3	0.483190000825296	NA	NA	NA
glucose	delta_pta	100	10	0.4238	0.0155897402159241	3	0.0146177362621164	0.00727286586724168	-0.0628025857266741	0.00932760116889833
glucose	delta_acs	100	0	0.449266666666667	0.0219429563489821	3	0.684716775399934	NA	NA	NA
glucose	delta_acs	100	10	0.484	0.0254707675581243	3	0.709893352950238	0.00124855927455478	0.0771838863746752	0.00472823257350528
glucose	delta_pgi	0	0	0.190866666666667	0.0180788089578195	0	NA	NA	NA	NA
glucose	delta_pgi	0	10	0.3024	0.0118983192090312	0	NA	0.0318622667720266	0.595903857374168	0.188777729223695
glucose	delta_pfkA	0	0	0.0734333333333333	0.00263122278291546	0	NA	NA	NA	NA
glucose	delta_pfkA	0	10	0.1593	0.0142123186004255	0	NA	0.0108418860858408	1.17145333334857	0.213006068699011
glycerol	wt	0	0	0.402566666666667	0.0155455245435248	3	NA	NA	NA	NA
glycerol	wt	0	10	0.429666666666667	0.0128321211548728	3	NA	0.0135613630970985	0.067595423929864	0.0137746984481353
glycerol	delta_pta	0	0	0.424433333333333	0.0136181251768859	3	0.142039448581646	NA	NA	NA
glycerol	delta_pta	0	10	0.390633333333333	0.00766441996065803	3	0.0168062029626188	0.0146156501230049	-0.0793338335079121	0.0167969247147243
glycerol	delta_acs	0	0	0.412566666666667	0.0201673829073912	3	0.53597123312833	NA	NA	NA
glycerol	delta_acs	0	10	0.443833333333333	0.0223942701004818	3	0.408175323910807	0.000314786290691369	0.0757302261965871	0.00232777145220906
galactose	wt	0	0	0.218533333333333	0.0155824687817218	3	NA	NA	NA	NA
galactose	wt	0	10	0.331766666666667	0.0222805595381564	3	NA	0.000192001693608935	0.518499613066943	0.0124458378851176
galactose	delta_pta	0	0	0.2445	0.0151494224312348	3	0.217174105373181	NA	NA	NA
galactose	delta_pta	0	10	0.2489	0.0172364439487964	3	0.0121478294715685	0.699706313267599	0.0238849188085948	0.128819416704447
galactose	delta_acs	0	0	0.1897	0.0049	3	0.0738372198091673	NA	NA	NA
galactose	delta_acs	0	10	0.289466666666667	0.0126476611803659	3	0.0605601542420466	0.00255216718166999	0.525752620926704	0.0460923835954417
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
